Stranding ID,Period,Season,Condition,INOFF,LatDD,LongDD,SCL (cm),SizeClass,Number of Trash Items,Mass of Trash Items
19940808AFA01,1987-1999,Summer,Alive,Inshore,28.025,-97.04666667,30.7,Recruit,8,0.06
19940703DXH01,1987-1999,Summer,Alive,Inshore,26.26,-97.28333333,46.5,Subadult,0,0
19961113AFA01,1987-1999,Fall,Alive,Inshore,27.83333333,-97.04166667,36.9,Transitional,8,0.62
19960204GPZ04,1987-1999,Winter,Alive,Inshore,26.05666667,-97.17666667,40,Transitional,0,0
19960119TXB01,1987-1999,Winter,Alive,Inshore,27.525,-97.28333333,41,Transitional,0,0
19960205GPZ05,1987-1999,Winter,Alive,Inshore,26.05666667,-97.17666667,42.9,Transitional,0,0
19970114CXR02,1987-1999,Winter,Alive,Inshore,25.98833333,-97.15666667,32.9,Recruit,0,0
19970116CXR03,1987-1999,Winter,Alive,Inshore,26.075,-97.215,33.2,Recruit,0,0
19970116CXR06,1987-1999,Winter,Alive,Inshore,26.075,-97.215,33.9,Recruit,0,0
19980620AFA01,1987-1999,Summer,Alive,Inshore,27.84666667,-97.05833333,27.7,Recruit,0,0
19990214AFA01,1987-1999,Winter,Alive,Inshore,27.84166667,-97.06,40.4,Transitional,0,0
20070120JAG03,2000-2009,Winter,Alive,Inshore,26.074,-97.2,31.3,Recruit,0,0
20071220AFA01,2000-2009,Winter,Alive,Inshore,27.8388,-97.06113,32.4,Recruit,28,0.16
20070121JAG06,2000-2009,Winter,Alive,Inshore,26.1037,-97.1739,35.3,Transitional,0,0
20070919AFA03,2000-2009,Fall,Alive,Inshore,27.8382,-97.066,35.9,Transitional,6,0.37
20070121JAG10,2000-2009,Winter,Alive,Inshore,26.1037,-97.1739,36.484,Transitional,0,0
20070120JAG17,2000-2009,Winter,Alive,Inshore,26.1037,-97.1739,38.2,Transitional,0,0
20070119JAG01,2000-2009,Winter,Alive,Inshore,26.074,-97.2,42.7,Transitional,0,0
20070305JAG01,2000-2009,Spring,Alive,Inshore,26.0635,-97.1652,43,Transitional,1,0.001
20070121LXG08,2000-2009,Winter,Alive,Inshore,26.1037,-97.1739,55.357,Subadult,0,0
20070121JAG09,2000-2009,Winter,Alive,Inshore,26.1037,-97.1739,62.7,Subadult,1,0.13
20070120JAG26,2000-2009,Winter,Alive,Inshore,26.1037,-97.1739,62.7,Subadult,0,0
20070118JAG13,2000-2009,Winter,Alive,Inshore,26.06342,-97.16215,63,Subadult,0,0
20080314AFA01,2000-2009,Spring,Alive,Inshore,27.8625,-97.053,53.6,Subadult,30,1.53
20191117RLL01,2019,Fall,Alive,Inshore,26.059837,-97.214595,30.6,Recruit,0,0
20191113MAD05,2019,Fall,Alive,Inshore,26.064302,-97.150477,31.6,Recruit,5,0.27
20190520AMO02,2019,Spring,Alive,Inshore,27.629312,-97.217024,56.1,Subadult,89,0.79
19890213AFA02,1987-1999,Winter,Fresh Dead,Inshore,27.005,-97.44833333,30.6,Recruit,0,0
19890118FWJ01,1987-1999,Winter,Fresh Dead,Inshore,26.08333333,-97.16666667,35.7,Transitional,0,0
19891221DLH02,1987-1999,Winter,Fresh Dead,Inshore,26.07166667,-97.16333333,36.7,Transitional,0,0
