Stranding ID,Total Mass (g),Mass Industrial (g),Mass Sheet-like (g),Mass Threadlike (g),Mass Foam Plastic (g),Mass Hard Fragment (g),Mass Other Plastic (g),Mass Non-plastic (g),GIT Section,Category,Color,Mass (g),Length (mm),Width (mm),Depth (mm),Fragment?,Surface Area (cm2)
20191130NAN01,0,0,0,0,0,0,0,0,Small Intestine,Hard Fragment,White,0,NA,NA,NA,Yes,NA
20190422LES01,1.68,0,0.21,0,0.15,1.3,0,0.03,Small Intestine,Hard Fragment,Brown,0.07,12.33,8.01,2.68,No,3.06549
20190422LES01,1.68,0,0.21,0,0.15,1.3,0,0.03,Small Intestine,Hard Fragment,Brown,0.01,6.62,4.14,0.86,No,0.733208
20190422LES01,1.68,0,0.21,0,0.15,1.3,0,0.03,Small Intestine,Hard Fragment,Brown,0.02,5.98,4.78,0.88,No,0.761064
20190422LES01,1.68,0,0.21,0,0.15,1.3,0,0.03,Small Intestine,Hard Fragment,Brown,0.03,11.61,3.37,0.88,No,1.046162
20190422LES01,1.68,0,0.21,0,0.15,1.3,0,0.03,Small Intestine,Hard Fragment,Brown,0.05,NA,NA,NA,Yes,NA
20190422LES01,1.68,0,0.21,0,0.15,1.3,0,0.03,Small Intestine,Hard Fragment,Yellow,0,NA,NA,NA,Yes,NA
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.06,13.7,7.34,0.91,No,2.394088
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Green,0.07,7.79,6.21,2.19,No,1.580718
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.04,6.84,6.41,1.38,No,1.242588
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.14,15.27,13.23,1.03,No,4.627542
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.08,19.46,5.68,1.06,No,2.743624
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.04,12.01,5.62,0.84,No,1.646108
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.06,11.83,7.97,0.89,No,2.238142
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.03,14.6,3.63,0.78,No,1.344348
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.05,10.15,6.41,1.03,No,1.642366
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.04,9.18,6.65,0.87,No,1.496382
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.06,11.76,6.87,0.98,No,1.980972
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.04,12.48,3.34,1.25,No,1.229164
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.03,14.87,7.67,0.34,No,2.43433
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.03,7.95,6.25,0.78,No,1.21527
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.04,12.48,4.75,0.86,No,1.481956
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.03,7.19,5.82,0.91,No,1.073698
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Yellow,0.06,13.35,13.14,0.43,No,3.736194
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.04,9.23,6.03,0.9,No,1.387818
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.08,13.4,8.61,0.86,No,2.686052
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.02,8.65,7.84,0.36,No,1.475048
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.13,15.06,10.33,1.02,No,3.629352
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.05,8.45,8.31,0.86,No,1.692662
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.07,13.96,7.29,0.83,No,2.388118
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.02,7.55,4.09,0.78,No,0.799174
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.07,11.01,9.24,0.82,No,2.366748
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.03,8.87,4.97,0.81,No,1.105886
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.05,10.23,5.24,1.11,No,1.415538
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.08,13.24,9.09,0.79,No,2.759846
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.04,9.66,5.94,0.82,No,1.403448
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.1,9.78,9.23,1.3,No,2.299648
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.12,14.05,6.2,1.57,No,2.37805
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.04,8.9,5.73,0.89,No,1.280354
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.03,13.89,7.6,0.32,No,2.248816
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.06,10.21,8.26,0.79,No,1.978518
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.05,11.96,5.46,0.84,No,1.598688
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.05,9.48,7.56,0.76,No,1.692384
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Brown,0.07,7.39,6.45,1.58,No,1.390654
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.11,15.82,6.62,1.11,No,2.592736
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.05,9.64,6.04,0.9,No,1.446752
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.11,10.32,5.53,2,No,1.775392
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.06,15.91,5.26,0.73,No,1.982814
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.05,10.31,4.57,1.07,No,1.260766
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.1,9.44,5.3,1.98,No,1.584344
20190421TNS01,7.83,0,0.14,0,0,7.48,0.19,0,Small Intestine,Hard Fragment,Clear,0.05,10.51,5.58,0.83,No,1.44001
